,Sistema Integrado de Gestión,,,,Revisión 8,R-SIG-GVP 01
,,,,,,
,REGISTRO DE CONTROL DE VIDRIOS Y PLÁSTICOS,,,,Fecha: 02/04/2026,Páginas 1 de 4
,,,,,,
Fecha de actualización,,,11/8/2025,,,
Nivel de Riesgo,4,Frecuencia de Control,,Diario,,
Ubicación,N°,Sector,Equipo/Superficie,Tipo,Estado,Observaciones
Blanchado 1,1,Ingreso horno ,Visor Tolva BL1TO01,Plástico,,
,2,Ingreso horno ,Visor Tolva BL1TO01,Plástico,,
,3,Ingreso horno,Visor Tolva BL1TO01,Plástico,,
,4,Horno - Blanchadoras,Elevador BL1EL02,Vidrio,,
,5,Horno - Blanchadoras,Elevador BL1EL02,Vidrio,,
,6,Ingreso Blanchado,Sensor Tolva BL1TO02,Plástico,,
,7,Ingreso Blanchado,Sensor Tolva BL1TO02,Plástico,,
,8,Ingreso Blanchado,Sensor Tolva BL1TO02,Plástico,,
,9,Ingreso Blanchado,Sensor Tolva BL1TO02,Plástico,,
,60,Blanchado,Protección luminaria,Plástico,,
,61,Blanchado,Protección luminaria,Plástico,,
,10,Blanchado,Tapa blanchadoras,Plástico,,
,11,Blanchado,Tapa blanchadoras,Plástico,,
,12,Blanchado,Tapa blanchadoras,Plástico,,
,13,Blanchado,Tapa blanchadoras,Plástico,,
,14,Blanchado,Tapa blanchadoras,Plástico,,
,15,Blanchado,Tapa blanchadoras,Plástico,,
,16,Blanchado,Tapa blanchadoras,Plástico,,
,17,Blanchado,Tapa blanchadoras,Plástico,,
,18,Blanchado,Tapa blanchadoras,Plástico,,
,19,Blanchado,Tapa blanchadoras,Plástico,,
,20,Blanchado,Tapa blanchadoras,Plástico,,
,21,Blanchado,Tapa blanchadoras,Plástico,,
,22,Blanchado-Selección,Elevador BL1EL03,Vidrio,,
,23,Blanchado-Selección,Elevador BL1EL03,Vidrio,,
Seleccionadora,1,Selecciónadora,Cubre vistas,Plástico,,
,2,Selecciónadora,Cubre vistas,Plástico,,
,3,Selecciónadora,Pantalla Seleccionadora,Plástico,,
,4,Selecciónadora,Puerta de Pantalla,Plástico,,
,5,Selecciónadora,Alarma ,Plástico,,
,6,Enfriador,Relojes de manometro,Plástico,,
,7,Enfriador,Display,Plástico,,
,8,Balanza,Visor,Plástico,,
,9,Detector,Display,Plástico,,
Línea Embolse Blanch 1,64,Picoteo,Protección luminaria BL1CT01,Plástico,,
,33,Cinta de picoteo - Embolse,Elevador BL1EL05,Vidrio,,
,34,Cinta de picoteo - Embolse,Elevador BL1EL05,Vidrio,,
,67,Cinta de picoteo - Embolse,Elevador BL1EL05,Vidrio,,
,40,Embolse,Visor tolva BL1EL04,Plástico,,
,41,Embolse,Visor tolva BL1EL04,Plástico,,
,42,Embolse,Visor tolva BL1EL04,Plástico,,
,43,Embolse,Visor tolva BL1EL04,Plástico,,
,44,Embolse,Sensor tolva BL1EL04,Plástico,,
,45,Embolse,Sensor tolva BL1EL04,Plástico,,
,65,Rechazo Selección,Elevador BL1EL06,Plástico,,
,66,Rechazo Selección,Elevador BL1EL06,Plástico,,
Cabina Tableros,1,Cabina tableros,Puerta,Vidrio,,
,2,Cabina tableros,Ventana fija,Vidrio,,
,3,Cabina tableros,Ventana fija,Vidrio,,
Cabina de Análisis,1,Cabina de análisis,Puerta,Vidrio,,
,2,Cabina de análisis,Ventana paño fijo,Vidrio,,
,3,Cabina de análisis,Ventana paño fijo,Vidrio,,
,4,Cabina de análisis,Ventana,Vidrio,,
,5,Cabina de análisis,Venta paño fijo,Vidrio,,
,6,Cabina de análisis,Venta paño fijo,Vidrio,,
,7,Cabina de análisis,Ventana,Vidrio,,
,8,Cabina de análisis,Ventana paño fijo,Plástico,,
,9,Cabina de análisis,Monitor PLC 1,Plástico,,
,10,Cabina de análisis,Monitor balanza 1 y 2,Plástico,,
,11,Cabina de análisis,Monitor PLC 2,Plástico,,
,12,Cabina de análisis,Notebock,Plástico,,
